n,time
2,0.01
3,0.01
4,0.01
5,0.01
6,0.01
7,0.01
8,0.01
9,0.01
10,0.01
11,0.01
12,0.01
13,0.01
14,0.01
15,0.01
16,0.01
17,0.01
18,0.01
19,0.01
20,0.01
21,0.01
22,0.01
23,0.01
24,0.01
25,0.01
26,0.01
27,0.01
28,0.01
29,0.01
30,0.01
31,0.01
32,0.01
33,0.01
34,0.01
35,0.01
36,0.01
37,0.01
38,0.01
39,0.01
40,0.01
41,0.01
42,0.01
43,0.01
44,0.01
45,0.01
46,0.01
47,0.01
48,0.01
49,0.01
50,0.01
51,0.01
52,0.01
53,0.01
54,0.01
55,0.01
56,0.01
57,0.01
58,0.01
59,0.02
60,0.01
61,0.02
62,0.02
63,0.02
64,0.01
65,0.01
66,0.02
67,0.02
68,0.02
69,0.02
70,0.03
71,0.03
72,0.02
73,0.02
74,0.03
75,0.03
76,0.02
77,0.03
78,0.03
79,0.04
80,0.05
81,0.04
82,0.04
83,0.04
84,0.04
85,0.04
86,0.04
87,0.04
88,0.03
89,0.04
90,0.06
91,0.04
92,0.04
93,0.03
94,0.05
95,0.04
96,0.07
97,0.05
98,0.05
99,0.05
100,0.06
