n,time
68,0.01
72,0.01
144,0.01
216,0.01
288,0.01
360,0.03
432,4.59
504,0.12
576,72.00
648,1.99
648,OOT
720,26.26
720,OOT
792,110.97
792,OOT
864,199.68
864,OOT
936,OOT
1008,318.39
1008,OOT
1080,899.24
1080,OOT
1152,OOT
1224,OOT
1296,OOT
1368,OOT
1440,OOT
1512,OOT
1584,OOT
1656,OOT
1728,OOT
1800,OOT
1872,OOT
1944,OOT
2016,OOT
2088,OOT
2160,OOT
2232,OOT
2304,OOT
2376,OOT
2448,OOT
2520,OOT
2592,OOT
2664,OOT
2736,OOT
2808,OOT
2880,OOT
2952,OOT
3024,OOT
3096,OOT
3168,OOT
3240,OOT
3312,OOT
3384,OOT
3456,OOT
3528,OOT
3600,OOT
