n,time
1158,0.50
4894,24.94
6596,47.11
15891,514.84
16690,890.95
16690,OOT
51016,OOT
54406,OOT
72375,OOT
86281,OOT
115954,OOT
133935,OOT
161040,OOT
162148,OOT
225114,OOM
237313,OOM
266068,OOM
275828,OOM
284695,OOM
285495,OOM
289840,OOM
290730,OOM
317569,OOM
332867,OOM
338297,OOM
349516,OOM
369255,OOM
401897,OOM
434530,OOM
436535,OOM
472969,OOM
481701,OOM
489116,OOM
502594,OOM
510223,OOM
510534,OOM
524983,OOM
549789,OOM
550935,OOM
551069,OOM
566851,OOM
581381,OOM
583868,OOM
590682,OOM
619162,OOM
631770,OOM
678543,OOM
695031,OOM
709568,OOM
