n,time
1158,36.64
4894,0.36
6596,0.21
15891,3.38
16690,7.16
51016,516.34
54406,93.97
72375,320.41
86281,OOT
115954,OOT
133935,OOT
161040,OOM
162148,OOT
225114,OOM
237313,OOM
266068,OOM
275828,OOM
284695,OOM
285495,OOM
289840,OOM
290730,OOM
317569,OOM
332867,OOM
338297,OOM
349516,OOM
369255,OOM
401897,OOM
434530,OOM
436535,OOM
472969,OOM
481701,OOM
489116,OOM
502594,OOM
510223,OOM
510534,OOM
524983,OOM
549789,OOM
550935,OOM
551069,OOM
566851,OOM
581381,OOM
583868,OOM
590682,OOM
619162,OOM
631770,OOM
678543,OOM
695031,OOM
709568,OOM
743136,OOM
749766,OOM
780602,OOM
819138,OOM
943290,OOM
955900,OOM
1063465,OOM
1679418,OOM
